Output:

   Iterations        T(min)        T(max)       T(diff)        T(avg)          Time        FLOP/s
0             -9.803923e+00  8.980392e+01  1.327162e+01  2.179825e+00  3.436280e+05  0.000000e+00
5000          -6.513295e+00  1.832196e+01  3.580093e-03  6.974384e+00  8.483574e+08  7.072609e-01
10000         -6.581107e+00  1.784445e+01  1.117706e-03  4.106732e+00  1.522113e+09  7.883909e-01
15000         -6.652513e+00  1.776400e+01  5.249977e-04  2.369646e+00  2.195578e+09  8.198434e-01
20000         -6.692345e+00  1.772112e+01  2.677441e-04  1.452423e+00  2.868937e+09  8.365608e-01
25000         -6.713170e+00  1.769884e+01  1.382828e-04  9.765753e-01  3.542730e+09  8.468187e-01
30000         -6.723959e+00  1.768730e+01  7.152557e-05  7.303243e-01  4.216174e+09  8.538690e-01
35000         -6.729543e+00  1.768134e+01  3.701448e-05  6.029375e-01  4.889359e+09  8.590227e-01
40000         -6.732430e+00  1.767825e+01  1.913309e-05  5.370406e-01  5.563022e+09  8.628548e-01
45000         -6.733924e+00  1.767666e+01  9.894371e-06  5.029547e-01  6.237750e+09  8.657112e-01
50000         -6.734696e+00  1.767583e+01  5.125999e-06  4.853203e-01  6.914582e+09  8.677458e-01
